L_AUTO_ON_OFF,38,TV,Auto,On,Off,,,,,,,,,
,38es,,Automático,Activado,Apagado,,,,,,,,,
,38fr,,Auto,Activé,Arrêté,,,,,,,,,
L_COUNTRIES,39,TV,USA,Mexico,Canada,,,,,,,,,
,39es,,EE.UU.,México,Canadá,,,,,,,,,
,39fr,,USA,Mexique,Canada,,,,,,,,,
L_VIEW_MODES,40,TV,,,,,,,,,,,,
L_DHCP_MODES,41,TV,On,Off,Manual DNS,,,,,,,,,
,41es,,Activado,Apagado,DNS Manual,,,,,,,,,
,41fr,,Activé,Arrêté,DNS Manuelle,,,,,,,,,
L_GAMMA_VALUES,42,TV,1.8,2,2.1,2.2,2.4,,,,,,,
,42es,,1.8,2,2.1,2.2,2.4,,,,,,,
,42fr,,1.8,2,2.1,2.2,2.4,,,,,,,
L_CEC_MODES,43,TV,Disabled,ARC Only,Enabled,,,,,,,,,
,43es,,Desactivado,ARC Solamente,Activado,,,,,,,,,
,43fr,,Désactivé,ARC Seulement,Activé,,,,,,,,,
L_COLOR_SPECTRUM,44,TV,,,,,,,,,,,,
L_COLOR_SPACE,45,TV,Auto,YCbCr,RGB,,,,,,,,,
,45es,,Automático,YCbCr,RGB,,,,,,,,,
,45fr,,Auto,YCbCr,RGB,,,,,,,,,
L_OFF_ON_UNKNOWN,46,TV,Off,On,Unknown,,,,,,,,,
,46es,,Apagado,Activado,Desconocido,,,,,,,,,
,46fr,,Arrêté,Activé,Inconnu,,,,,,,,,
L_12H_OR_24H,47,TV,12 hour,24 hour,,,,,,,,,,
,47es,,12 Horas,24 Horas,,,,,,,,,,
,47fr,,12 Heures,24 Heures,,,,,,,,,,
L_DISABLED_ENABLED,48,TV,Disabled,Enabled,,,,,,,,,,
,48es,,Desactivado,Activado,,,,,,,,,,
,48fr,,Désactivé,Activé,,,,,,,,,,
L_TEST_PATTERN,49,TV,Off,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%,
,49es,,Apagado,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%,
,49fr,,Arrêté,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%,
 L_EQ,51,Audio,Movie,Music,Direct,,,,,,,,,
,51es,,Película,Música,Directo,,,,,,,,,
,51fr,,Film,Musique,Direct,,,,,,,,,
L_INPUTS_SB9,52,Audio,Aux 1,Aux 2,Digital,Optical,HDMI In,HDMI ARC,USB,Bluetooth,Cast,,,
,52es,,Aux 1,Aux 2,Digital,Optical,HDMI In,HDMI ARC,USB,Bluetooth,Cast,,,
,52fr,,Aux 1,Aux 2,Digital,Optical,HDMI In,HDMI ARC,USB,Bluetooth,Cast,,,
L_INPUTS_SB8,53,Audio,Aux,Digital,Optical,HDMI In,HDMI ARC,USB,Bluetooth,Cast,,,,
,53es,,Aux,Digital,Optical,HDMI In,HDMI ARC,USB,Bluetooth,Cast,,,,
,53fr,,Aux,Digital,Optical,HDMI In,HDMI ARC,USB,Bluetooth,Cast,,,,
L_LUT_SELECT,54,TV,Factory,Custom,,,,,,,,,,
,54es,,Fábrica,Personalizar,,,,,,,,,,
,54fr,,Usine,Personnalisé,,,,,,,,,,
L_POWER_MODE,55,TV,Eco Mode,Quick Start,,,,,,,,,,
,55es,,Modo de Eco,Inicio Rápido,,,,,,,,,,
,55fr,,Mode Éco,Démarrage Rapide,,,,,,,,,,
L_EQ_SPEAKER,56,Audio,Enhanced,Natural,,,,,,,,,,
,56es,,Mejorado,Natural,,,,,,,,,,
,56fr,,Amélioré,Naturel,,,,,,,,,,
L_DIGITAL_LANGUAGE,57,TV,English,Spanish/Video Description,French,,,,,,,,,
,57es,,Inglés,Español /Descripción de Video,Francés,,,,,,,,,
,57fr,,Anglais,Espagnol/Description Vidéo,Français,,,,,,,,,
